pairs,scores_lh_prev,coref_label,scores_r1_k1,scores_r0_k1,scores_r1_k0,scores_paired,scores_gpt,scores_llama
"('01a3575145d10f448d43c04724d4b2af.b1.8', '01a3575145d10f448d43c04724d4b2af.b1.26')",1,1,1,1,0,1,1,1
"('01a3575145d10f448d43c04724d4b2af.b2.7', '01a3575145d10f448d43c04724d4b2af.b1.26')",1,1,1,1,1,1,1,1
"('01a3575145d10f448d43c04724d4b2af.b2.7', '01a3575145d10f448d43c04724d4b2af.b1.8')",1,1,1,1,1,1,1,1
"('01a3575145d10f448d43c04724d4b2af.b3.29', '01a3575145d10f448d43c04724d4b2af.b1.46')",0,1,1,1,1,1,0,1
"('01a3575145d10f448d43c04724d4b2af.b5.29', '01a3575145d10f448d43c04724d4b2af.b1.46')",1,1,1,1,1,1,0,1
"('01a3575145d10f448d43c04724d4b2af.b5.29', '01a3575145d10f448d43c04724d4b2af.b3.29')",1,1,1,1,1,1,0,1
"('01a3575145d10f448d43c04724d4b2af.b6.14', '01a3575145d10f448d43c04724d4b2af.b1.46')",1,1,1,1,1,1,1,1
"('01a3575145d10f448d43c04724d4b2af.b6.14', '01a3575145d10f448d43c04724d4b2af.b3.29')",0,1,1,1,1,1,0,1
"('01a3575145d10f448d43c04724d4b2af.b6.14', '01a3575145d10f448d43c04724d4b2af.b5.29')",1,1,1,1,1,1,0,1
"('01a3575145d10f448d43c04724d4b2af.t1.8', '01a3575145d10f448d43c04724d4b2af.b1.26')",1,1,1,1,1,1,1,1
"('01a3575145d10f448d43c04724d4b2af.t1.8', '01a3575145d10f448d43c04724d4b2af.b1.8')",1,1,1,1,1,1,1,1
"('01a3575145d10f448d43c04724d4b2af.t1.8', '01a3575145d10f448d43c04724d4b2af.b2.7')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b1.7', '01a3575145d10f448d43c04724d4b2af.b1.46')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b1.7', '01a3575145d10f448d43c04724d4b2af.b6.14')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b3.8', '01a3575145d10f448d43c04724d4b2af.b1.26')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b3.8', '01a3575145d10f448d43c04724d4b2af.b1.8')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b3.8', '01a3575145d10f448d43c04724d4b2af.b2.7')",1,1,1,1,1,1,0,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b3.8', '01a3575145d10f448d43c04724d4b2af.t1.8')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b4.17', '01a3575145d10f448d43c04724d4b2af.b1.46')",0,1,1,1,1,1,0,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b4.17', '01a3575145d10f448d43c04724d4b2af.b3.29')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b4.17', '01a3575145d10f448d43c04724d4b2af.b5.29')",1,1,1,1,1,1,0,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b4.17', '37abefa82f9e7f77423873b1a7bc6f4c.b1.7')",1,1,1,1,1,1,0,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b4.6', '01a3575145d10f448d43c04724d4b2af.b5.7')",1,1,1,1,1,1,0,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b5.12', '01a3575145d10f448d43c04724d4b2af.b2.35')",1,1,1,1,1,1,0,1
"('37abefa82f9e7f77423873b1a7bc6f4c.b6.4', '01a3575145d10f448d43c04724d4b2af.b5.7')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.t1.3', '01a3575145d10f448d43c04724d4b2af.b1.46')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.t1.3', '01a3575145d10f448d43c04724d4b2af.b6.14')",1,1,1,1,1,1,1,1
"('37abefa82f9e7f77423873b1a7bc6f4c.t1.3', '37abefa82f9e7f77423873b1a7bc6f4c.b1.7')",1,1,1,1,1,1,1,1
