mention_pair,sentence1,sentence2,im_rationale,lemma1,lemma2,triger_1,trigger2,has_pron,within_doc,pos_tag1,pos_tag2,len_men1,len_men2,topic
"('37abefa82f9e7f77423873b1a7bc6f4c.t1.3', '37abefa82f9e7f77423873b1a7bc6f4c.b4.6')","Deputies investigate <m> shooting </m> after Labadieville teen ends up on - KSLA News 12 Shreveport , Louisiana News Weather & Sports Assumption Parish deputies are investigating a shooting that happened Saturday , leaving a 17-year - old Labadieville boy on life support .","Deputies were called to a home on Violet Street around 11:30 p.m. Saturday . When they arrived , they found Dronald Washington shot in the head with a .38 caliber revolver . The person who called in the <m> incident </m> said that Washington was playing with the gun when it went off ."," Okay, let me think this through...In document A, the event trigger word is ""shooting,"" and in document B, the event trigger word is ""incident."" At first glance, it may seem like these two documents are referring to the same event, but upon closer inspection, it becomes clear that they are not.First, let's look at the context of each document. Document A mentions a shooting that happened in Labadieville, Louisiana, and left a 17-year-old boy on life support. Document B, on the other hand, mentions a shooting that occurred in Assumption Parish, but it does not provide any information about the location or severity of the injury.Next, let's examine the actions and actors involved in each event. In document A, it is mentioned that the deputies are investigating the shooting, which suggests that they are trying to determine who was involved in the incident and how it occurred. In document B, it is mentioned that Dronald Washington was shot, but there is no mention of any investigation or involvement of law enforcement.Moving on to the objects and locations involved in each event, in document A, there is no mention of any specific objects or locations related to the shooting. In document B, it is mentioned that the shooting occurred at a home on Violet Street.Finally, let's look at the pronouns used in each document. In document A, the pronoun ""he"" is used to refer to the 17-year-old boy who was shot. In document B, the pronoun ""he"" is used to refer to Dronald Washington, who was shot. This suggests that the events described in each document may be referring to different individuals.Based on these observations, it seems clear that the two events described in the documents are not the same event. Document A is referring to a specific shooting that occurred in Labadieville, Louisiana, and left a 17-year-old boy on life support. Document B, on the other hand, is referring to a separate incident in which Dronald Washington was shot at a home on Violet Street.In conclusion, my inner monologue has led me to the decision that the two documents are not referring to the same event. While the event trigger words may seem similar, the context, actions, actors, objects, and locations described in each document are distinct and suggest that they are referring to different incidents.",shoot,incident,shooting ,incident ,1,1,VERB,VERB,1,1,470044
"('0392b3b12110fec786b38335ffb6c713.b3.9', '0392b3b12110fec786b38335ffb6c713.b3.2')","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three gunshots and realized he had been shot , police said . He was hospitalized and police did not provide his <m> condition </m> Monday .","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three gunshots and realized he had been shot , police said . He was <m> hospitalized </m> and police did not provide his condition Monday ."," Okay, let me think this through...Both documents A and B are describing the same event, but they are not referring to the same event. Here's how I reached this conclusion:1. Common context: Both documents are describing an event that took place in the 100 block of East 26th St. at around 1:15 a.m. This suggests that the event is the same.2. Actions: Both documents mention that the man heard three gunshots and realized he had been shot. This means that the man was involved in the same action (hearing gunshots) in both events.3. Actors: Both documents mention ""police"" as the entity providing information about the event. This suggests that the actors involved in the event are the same.4. Objects: Both documents mention the man being shot, but they do not provide any information about other objects involved in the event.5. Locations: Both documents mention the 100 block of East 26th St. as the location of the event.6. Pronouns: Both documents use the pronoun ""he"" to refer to the man involved in the event. This suggests that the man is the same person in both events.7. Event trigger words: Both documents use the event trigger word ""condition"" to describe the man's state after he was shot. This suggests that the event in question is the man's injury and subsequent hospitalization.Based on the above analysis, it is clear that the two events described in documents A and B are not the same event. The event in document A is the man's injury and hospitalization, while the event in document B is the man's experience of hearing gunshots. Therefore, the answer to the question is no, they are not talking about the same event.",condition,hospitalize,condition ,hospitalized ,1,1,NOUN,NOUN,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b9.10', '0392b3b12110fec786b38335ffb6c713.b4.11')","D'kai Vanlandingham , 17 , of Northeast Baltimore , was <m> shot </m> and killed just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said .","Sunday evening a 22-year - old man was also wounded by <m> gunfire </m> , police said . The man was shot shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in good condition , according to police ."," Okay, let's break it down. In document A, the event trigger word is ""shot"" and in document B, the event trigger word is ""gunfire."" Both documents are talking about an event that resulted in someone being injured or killed, but they are not referring to the same event.Here's my reasoning:1. Context: Both documents are talking about an event that occurred in Baltimore, specifically in the neighborhoods of Northeast Baltimore and West Baltimore.2. Actions: In document A, the subject was ""shot"" and killed, while in document B, the subject was ""wounded"" by ""gunfire."" These are different actions, indicating that the events are not the same.3. Actors: There is no information provided in either document about the actors involved in the event.4. Objects: The objects involved in the event are also different. In document A, the subject was ""shot,"" which implies the use of a firearm, while in document B, the subject was ""wounded"" by ""gunfire,"" which implies the use of a different type of weapon.5. Locations: The locations where the events occurred are also different. In document A, the event occurred on the 3400 block of Juneway in Belair - Edison, while in document B, the event occurred in the 800 block of Lyndhurst St. in the Edmondson Village neighborhood of West Baltimore.Based on these comparisons, it is clear that the events described in the two documents are not the same. The use of different trigger words, actions, actors, objects, and locations indicate that the events are distinct and separate. Therefore, the answer to whether they are talking about the same event is no.",shoot,gunfire,shot ,gunfire ,0,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b9.10', '0392b3b12110fec786b38335ffb6c713.b5.3')","D'kai Vanlandingham , 17 , of Northeast Baltimore , was <m> shot </m> and killed just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said .","Sunday evening a 22-year - old man was also wounded by gunfire , police said . The man was <m> shot </m> shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in good condition , according to police ."," Okay, let's dive into this inner monologue. Based on the given documents, I will reason through the common context, actions, actors, objects, and locations to determine whether the events are the same or not.Common Context:* Both documents mention the city of Baltimore.* Both documents mention the time of the incident, with Document A stating the time as ""just after 10 p.m."" and Document B stating the time as ""shortly after 6 p.m.""* Both documents mention the location of the incident, with Document A stating the location as ""the 3400 block of Juneway in Belair - Edison"" and Document B stating the location as ""the 800 block of Lyndhurst St. in the Edmondson Village neighborhood of West Baltimore.""Actions:* In Document A, the subject, D'kai Vanlandingham, was shot and killed.* In Document B, a 22-year-old man was wounded by gunfire and was hospitalized in good condition.Actors:* In Document A, the actors are the police and the perpetrator(s) of the shooting.* In Document B, the actors are also the police and the perpetrator(s) of the shooting.Objects:* In Document A, the object is the gun used to shoot D'kai Vanlandingham.* In Document B, the object is also the gun used to shoot the 22-year-old man.Locations:* In Document A, the location is the 3400 block of Juneway in Belair - Edison.* In Document B, the location is the 800 block of Lyndhurst St. in the Edmondson Village neighborhood of West Baltimore.Now that I have identified the common context, actions, actors, objects, and locations, I will analyze whether the events are the same or not.Based on the information provided, it appears that the events are not the same. Although both documents mention the city of Baltimore, the time of the incident, and the location of the incident, the specific details of the events are different.In Document A, D'kai Vanlandingham was shot and killed, while in Document B, a 22-year-old man was wounded by gunfire. The perpetrator(s) of the shooting are also different in each document.Therefore, based on my reasoning, the events described in Document A and Document B are not the same event.",shoot,shoot,shot ,shot ,0,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b9.10', '0392b3b12110fec786b38335ffb6c713.b6.4')","D'kai Vanlandingham , 17 , of Northeast Baltimore , was <m> shot </m> and killed just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said .","Sunday evening a 22-year - old man was also wounded by gunfire , police said . The man was shot shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in <m> good condition </m> , according to police ."," Okay, let me think this through...Both documents mention a person being shot, but there are some key differences in the language used that suggest they are not referring to the same event.Firstly, the location of the event is different in each document. Document A states that the event occurred on the 3400 block of Juneway in Belair-Edison, while document B mentions the 800 block of Lyndhurst St. in the Edmondson Village neighborhood of West Baltimore.Secondly, the age of the person involved is different in each document. Document A states that the person was 17 years old, while document B mentions a 22-year-old man.Thirdly, the condition of the person after the shooting is different in each document. Document A states that the person was killed, while document B states that the person was hospitalized in good condition.Based on these differences, it seems unlikely that the two events are the same. It's possible that there were two separate incidents involving people being shot in different locations and at different times, with different ages and conditions.To further support this conclusion, the use of pronouns in each document also suggests that they are referring to different people. In document A, the pronoun ""he"" is used to refer to the person who was shot and killed, while in document B, the pronoun ""he"" is used to refer to the person who was wounded. This suggests that there are at least two separate individuals involved in the two events.Overall, based on the language and context clues provided in the two documents, it appears that they are not referring to the same event.",shoot,condition,shot ,good condition ,0,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b9.10', '0392b3b12110fec786b38335ffb6c713.b8.10')","D'kai Vanlandingham , 17 , of Northeast Baltimore , was <m> shot </m> and killed just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said .","Martin Ibarra , 35 , of South Baltimore , was <m> shot </m> and killed shortly before 10 p.m. Friday on the 1400 block of Ramsay St. in New Southwest - Mount Clare , police said ."," Okay, let's dive into this inner monologue! 🤔As I read through the two documents, I notice that both mention a person being shot and killed, but there are some key differences in the details. 💡Firstly, the names of the victims are different. In document A, the victim is identified as D'kai Vanlandingham, while in document B, the victim is named Martin Ibarra. 🧐Next, I notice that the locations where the incidents occurred are different. Document A states that the incident happened on the 3400 block of Juneway in Belair-Edison, while document B mentions the 1400 block of Ramsay St. in New Southwest-Mount Clare. 📍Now, let's look at the event trigger words - ""shot"" in both documents. 🔍In document A, the phrase ""was <m> shot </m> and killed"" is used, while in document B, it's ""was <m> shot </m>."" Hmm, that's interesting! 🤔My inner monologue is now thinking, ""Wait a minute, could these two events be the same event, but described differently?"" 🤷‍♀️Let me think this through...If the two events are the same, then the person who was shot and killed in document A should be the same person who was shot and killed in document B. 🤔But wait, the names of the victims are different! 🙅‍♀️So, my conclusion is that the two events are NOT referring to the same event. 😕In other words, there are two separate incidents involving people being shot and killed in different locations in Baltimore. 🏙️In conclusion, my inner monologue has decided that the two documents are not talking about the same event based on the differences in the details provided, including the names of the victims, locations, and event trigger words. 💡",shoot,shoot,shot ,shot ,1,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b9.10', '0392b3b12110fec786b38335ffb6c713.b8.12')","D'kai Vanlandingham , 17 , of Northeast Baltimore , was <m> shot </m> and killed just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said .","Martin Ibarra , 35 , of South Baltimore , was shot and <m> killed </m> shortly before 10 p.m. Friday on the 1400 block of Ramsay St. in New Southwest - Mount Clare , police said ."," Okay, let me think this through...At first glance, it seems like both documents are talking about the same thing - someone getting shot and killed. But as I start to analyze the information provided, I notice some key differences.In Document A, the person who got shot is identified as ""D'kai Vanlandingham,"" and the location is specified as ""Northeast Baltimore."" The event occurred on Saturday night, around 10 p.m., on the 3400 block of Juneway in Belair - Edison.In Document B, the person who got shot is identified as ""Martin Ibarra,"" and the location is specified as ""South Baltimore."" The event occurred on Friday night, around 10 p.m., on the 1400 block of Ramsay St. in New Southwest - Mount Clare.Now, here's where things get interesting. Both documents use the same trigger words - ""shot"" and ""killed"" - but the specific details don't match up. For example, in Document A, the person's name is ""D'kai Vanlandingham,"" while in Document B, the person's name is ""Martin Ibarra."" This suggests that the two events are not the same, despite the similar language used to describe them.Furthermore, the locations mentioned in the two documents are different. In Document A, the event occurred in Northeast Baltimore, while in Document B, the event occurred in South Baltimore. This suggests that the two events are not the same, even though they both involve a person getting shot and killed.Based on these observations, I would conclude that the two events are not the same. The people involved, the locations, and the specific details of the events are different, indicating that they are distinct occurrences. Therefore, the answer to the question is no, they are not talking about the same event.",shoot,kill,shot ,killed ,1,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b9.12', '0392b3b12110fec786b38335ffb6c713.b4.11')","D'kai Vanlandingham , 17 , of Northeast Baltimore , was shot and <m> killed </m> just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said .","Sunday evening a 22-year - old man was also wounded by <m> gunfire </m> , police said . The man was shot shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in good condition , according to police ."," Okay, let me think this through...First, I notice that both documents mention a location, in this case, ""Baltimore."" This suggests that the events described in the documents could be happening in the same general area.Next, I see that in document A, the person killed is identified as ""D'kai Vanlandingham,"" and in document B, the person wounded is identified as a 22-year-old man. This makes me wonder if these are the same person, or if they are two separate individuals.I then see that both documents mention the word ""gunfire"" as the cause of the injury. This makes me think that the events described in the documents could be related to the same incident, perhaps a shooting or an attack of some kind.However, there are some discrepancies between the documents that make me hesitant to conclude that they are talking about the same event. For example, document A mentions that the incident occurred on the ""3400 block of Juneway"" in Belair-Edison, while document B mentions the 800 block of Lyndhurst St. in the Edmondson Village neighborhood of West Baltimore. This suggests that the events described in the documents could be happening in different locations within the city.Furthermore, the time of the incident is different in the two documents. Document A states that the incident occurred just after 10 p.m. on Saturday night, while document B states that the incident occurred shortly after 6 p.m. on Sunday evening. This could indicate that the events described in the documents are happening at different times, or that they are separate incidents altogether.Based on these observations, I cannot conclusively say that the events described in the documents are the same event. It's possible that they are related, but happening at different times and locations. I would need more information to make a definitive decision.",kill,gunfire,killed ,gunfire ,0,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b9.12', '0392b3b12110fec786b38335ffb6c713.b5.3')","D'kai Vanlandingham , 17 , of Northeast Baltimore , was shot and <m> killed </m> just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said .","Sunday evening a 22-year - old man was also wounded by gunfire , police said . The man was <m> shot </m> shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in good condition , according to police ."," Okay, let me think this through...In document A, the event trigger word ""killed"" suggests that the person mentioned, D'kai Vanlandingham, died as a result of the shooting. In document B, the event trigger word ""shot"" suggests that the person mentioned, a 22-year-old man, was injured or shot, but did not die.From this, I can deduce that the two events are not the same event. The location of the event in document A is Northeast Baltimore, while the location of the event in document B is West Baltimore. Additionally, the age of the person mentioned in document A is 17, while the age of the person mentioned in document B is 22.Furthermore, the pronouns used in the two documents are different. In document A, the pronoun ""he"" is used to refer to D'kai Vanlandingham, while in document B, the pronoun ""he"" is used to refer to the 22-year-old man. This suggests that the two events are referring to different individuals.Based on these observations, I conclude that the two events are not the same event. The events described in the two documents occurred in different locations, involve different individuals, and have different outcomes.",kill,shoot,killed ,shot ,0,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b9.12', '0392b3b12110fec786b38335ffb6c713.b6.4')","D'kai Vanlandingham , 17 , of Northeast Baltimore , was shot and <m> killed </m> just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said .","Sunday evening a 22-year - old man was also wounded by gunfire , police said . The man was shot shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in <m> good condition </m> , according to police ."," Okay, let's break this down. Based on the event trigger words in the two documents, we have:* Document A: ""D'kai Vanlandingham , 17 , of Northeast Baltimore , was shot and <m> killed </m> just after 10 p.m. Saturday on the 3400 block of Juneway in Belair - Edison , police said ..""* Document B: ""Sunday evening a 22-year - old man was also wounded by gunfire , police said . The man was shot shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in <m> good condition </m> , according to police .""From the context, it seems that both events involve gun violence in Baltimore, with one occurring in Northeast Baltimore and the other in West Baltimore. However, there are some key differences between the two documents that suggest they are not referring to the same event:* Location: The location of the event in Document A is specific to the 3400 block of Juneway in Belair - Edison, while the location in Document B is more general, mentioning the Edmondson Village neighborhood of West Baltimore.* Time: The time of the event in Document A is specific to ""just after 10 p.m. Saturday,"" while the time of the event in Document B is more general, mentioning ""Sunday evening.""* Condition of the victim: In Document A, the victim is described as being ""killed,"" while in Document B, the victim is described as being in ""good condition.""Based on these differences, it seems that the two events are not the same event. The location and time of the event in Document A suggest a different event than the one described in Document B. Additionally, the condition of the victim in the two documents is different, which further suggests that they are not referring to the same event. Therefore, I conclude that Document A and Document B are not talking about the same event.",kill,condition,killed ,good condition ,0,1,VERB,VERB,1,1,683045
